date,no1,no2,no3,no4,no5
2014-01-01 00:00:00,0.286281,0.616572,1.632971,-2.439261,-0.495107
2014-01-01 01:00:00,0.069578,0.337725,-0.509108,-0.048991,0.807075
2014-01-01 02:00:00,-0.315488,-1.184985,0.009690,-0.440277,-0.416983
2014-01-01 03:00:00,0.801212,-1.075844,-1.187909,-1.423603,0.734349
2014-01-01 04:00:00,0.123034,-0.330156,0.821171,-0.156291,-0.031479
2014-01-01 05:00:00,0.317467,2.212733,0.524163,-0.307272,-0.114652
2014-01-01 06:00:00,-0.936812,0.868021,0.243185,0.016350,0.108041
2014-01-01 07:00:00,-0.404493,-1.723004,0.025195,-2.113039,0.401568
2014-01-01 08:00:00,0.232835,0.337346,1.597583,0.186533,-1.033974
2014-01-01 09:00:00,-0.632698,0.317509,-0.320261,1.004233,-0.006243
2014-01-01 10:00:00,0.433420,-0.360405,0.534006,0.041628,-0.806034
2014-01-01 11:00:00,-2.105614,0.561009,-0.294596,0.510219,-0.583224
2014-01-01 12:00:00,1.405865,-0.242804,-1.014617,0.773199,0.662493
2014-01-01 13:00:00,0.318251,-1.583654,1.063654,-1.241401,-0.310506
2014-01-01 14:00:00,-1.161610,1.981023,1.266235,0.586588,0.836331
2014-01-01 15:00:00,1.404310,-0.756251,-1.050963,-0.254533,0.869995
2014-01-01 16:00:00,-1.579904,-0.558538,-0.390384,-0.137977,-1.785092
2014-01-01 17:00:00,-0.750402,1.522439,0.853287,-1.474330,-0.280557
2014-01-01 18:00:00,-0.500802,0.042725,0.803516,0.202481,2.131679
2014-01-01 19:00:00,1.939105,-0.336559,-0.711531,-1.348712,0.698403
2014-01-01 20:00:00,-0.591399,-1.002852,-2.110799,-0.932226,0.167060
2014-01-01 21:00:00,-1.555785,1.957189,-0.609680,1.166934,1.436212
2014-01-01 22:00:00,0.369074,0.467758,0.884945,-0.470907,0.652904
2014-01-01 23:00:00,0.444388,-1.009985,-1.085918,-1.746888,-1.008498
2014-01-02 00:00:00,0.221247,-0.361221,-0.219501,0.097901,0.928455
2014-01-02 01:00:00,-0.701303,-0.879759,0.144608,-0.627431,0.168251
2014-01-02 02:00:00,-1.378842,0.446369,-0.494289,-1.182833,-0.678031
2014-01-02 03:00:00,1.154811,-0.951392,-0.236227,0.226589,-1.164552
2014-01-02 04:00:00,1.329941,-1.016365,-1.657773,-0.016675,-0.360579
2014-01-02 05:00:00,-1.238475,0.532285,-0.216414,-0.675549,-0.898178
2014-01-02 06:00:00,-0.163523,0.530718,1.911624,-1.375022,0.005556
2014-01-02 07:00:00,-0.012432,-0.043341,-0.318251,0.560596,0.423836
2014-01-02 08:00:00,-0.627654,-0.410621,2.593724,-0.224754,0.056826
2014-01-02 09:00:00,1.941363,-0.588351,2.349165,-0.294696,0.522554
2014-01-02 10:00:00,-1.456513,-1.418810,1.608185,-1.321070,0.167853
2014-01-02 11:00:00,1.504267,0.393460,2.937749,-0.530427,-0.071406
2014-01-02 12:00:00,0.138543,-1.224438,-0.369478,0.000950,0.670159
2014-01-02 13:00:00,-2.106315,-0.716469,-0.944997,0.717469,-1.219195
2014-01-02 14:00:00,2.094610,-0.161410,-0.389151,-1.429207,0.675530
2014-01-02 15:00:00,0.956116,-1.382563,0.347853,0.754450,0.604487
2014-01-02 16:00:00,-0.523461,-0.635112,-0.657044,-1.438489,-0.696631
2014-01-02 17:00:00,0.621191,0.826134,-0.938044,0.023410,0.728818
2014-01-02 18:00:00,1.376111,-0.666942,0.165455,-0.439002,0.004038
