tick,return,pecentile
AXSM,6.566666666666666,1.0
PED,5.595538312318137,0.9996841440303221
CRMD,4.376425855513308,0.9993682880606444
INS,4.26335403726708,0.9990524320909665
AMRN,4.242990654205607,0.9987365761212887
CHMA,2.9096774193548383,0.9984207201516109
ATAI,2.6736368489809097,0.998104864181933
CVRS,2.6570332831119026,0.9977890082122552
LIQT,2.4189864382583868,0.9974731522425774
NSPR,2.284313725490196,0.9971572962728995
CODA,2.2653061224489797,0.9968414403032217
GWGH,2.1982942430703623,0.9965255843335439
EBIX,2.166715090940787,0.9962097283638661
KALV,1.9238578680203045,0.9958938723941883
EHTH,1.6711149375807146,0.9955780164245104
GRVY,1.6679738562091502,0.9952621604548326
CFMS,1.6259541984732824,0.9949463044851548
CATS,1.5221674876847295,0.994630448515477
NBEV,1.504807692307692,0.9943145925457991
MDB,1.4672563361115838,0.9939987365761213
FLDM,1.4475806451612905,0.9936828806064435
IIPR,1.4138666851217456,0.9933670246367656
COKE,1.4099965449729353,0.9930511686670878
AGRX,1.4048442906574397,0.99273531269741
RARX,1.3633507853403142,0.9924194567277321
APPS,1.3353293413173652,0.9921036007580544
INSG,1.3317307692307692,0.9917877447883765
ENPH,1.3080645161290323,0.9914718888186986
AYX,1.2278128950695324,0.9911560328490209
OCX,1.195744680851064,0.990840176879343
KRYS,1.1891156462585033,0.9905243209096652
IGC,1.1876225822998703,0.9902084649399874
GSB,1.1844722572023336,0.9898926089703095
EBR,1.1788086927147843,0.9895767530006317
PDEX,1.1674418604651162,0.9892608970309539
CRON,1.150145772594752,0.988945041061276
NVTA,1.1409638554216865,0.9886291850915983
LFVN,1.1222222222222222,0.9883133291219204
MDGS,1.0859375,0.9879974731522426
BRID,1.0857142857142859,0.9876816171825648
CDNA,1.078846153846154,0.9873657612128869
FSI,1.0775623268698062,0.9870499052432091
AUDC,1.0615183246073299,0.9867340492735313
GLDD,1.0596153846153848,0.9864181933038535
OKTA,1.0568675609295295,0.9861023373341756
NOA,1.0540468346540823,0.9857864813644978
MRCY,1.0408963585434172,0.98547062539482
AVP,1.0258064516129033,0.9851547694251421
MTNB,0.9926014797040594,0.9848389134554643
GNE,0.9874244354137602,0.9845230574857865
OESX,0.9532710280373828,0.9842072015161086
ELP,0.9520406884077437,0.9838913455464309
BAND,0.9486730095142715,0.983575489576753
MELI,0.9443541285646551,0.9832596336070751
PNRG,0.9428571428571428,0.9829437776373974
CYBR,0.9289485593603861,0.9826279216677195
IDN,0.9247787610619469,0.9823120656980417
FRPT,0.8995983935742973,0.9819962097283639
ATLC,0.8730964467005076,0.981680353758686
CIG,0.8696518579299028,0.9813644977890082
LRN,0.8627218934911245,0.9810486418193304
NSTG,0.8598195697432338,0.9807327858496525
ASND,0.8536876679605852,0.9804169298799748
PACB,0.8463541666666667,0.9801010739102969
DMRC,0.8420062695924766,0.9797852179406191
SID,0.8397948110880931,0.9794693619709413
PAYC,0.8234517945109077,0.9791535060012634
NSSC,0.8218430034129693,0.9788376500315856
FNKO,0.8208695652173914,0.9785217940619078
CTHR,0.820754716981132,0.97820593809223
KTOS,0.8185022026431719,0.9778900821225521
ICAD,0.8158730158730159,0.9775742261528743
CLAR,0.8149311951457363,0.9772583701831965
OLED,0.7854137938433774,0.9769425142135186
PRQR,0.7847328244274809,0.9766266582438408
ASFI,0.7837837837837835,0.976310802274163
LSCC,0.7834890965732086,0.9759949463044851
ERIE,0.7619133465536929,0.9756790903348074
EEFT,0.7449787673591186,0.9753632343651295
LGL,0.7399617590822178,0.9750473783954516
ATV,0.7384649328442592,0.9747315224257739
COUP,0.7375773932370218,0.974415666456096
BLL,0.7355248140036399,0.9740998104864181
NEO,0.7318894697535474,0.9737839545167404
CORE,0.7303442375257132,0.9734680985470625
MTCH,0.7263290915052545,0.9731522425773848
PLNT,0.7214348981399468,0.9728363866077069
AFMD,0.7128205128205127,0.972520530638029
PAR,0.7063914780292944,0.9722046746683513
KL,0.6923250797269871,0.9718888186986734
PTN,0.6681015927679725,0.9715729627289956
PCMI,0.6573964497041422,0.9712571067593178
MCHX,0.6540880503144653,0.9709412507896399
ISSC,0.63986013986014,0.9706253948199621
AMSC,0.6328928046989721,0.9703095388502843
GOL,0.6293929712460062,0.9699936828806064
BDSI,0.6288288288288286,0.9696778269109286
EVFM,0.6151515151515152,0.9693619709412508
QUMU,0.6086956521739133,0.969046114971573
NMIH,0.6040462427745663,0.9687302590018951
LAWS,0.6032719836400819,0.9684144030322173
CABO,0.6002750479411978,0.9680985470625395
LINC,0.5999999999999999,0.9677826910928616
AMD,0.5985620131815457,0.9674668351231839
QURE,0.598116169544741,0.967150979153506
INFU,0.596774193548387,0.9668351231838281
EVBG,0.5877542879936177,0.9665192672141504
AVID,0.5800000000000001,0.9662034112444725
KRNT,0.5749271137026242,0.9658875552747946
LXFT,0.5722070844686649,0.9655716993051169
CTRE,0.5709481839460451,0.965255843335439
VMW,0.5704314468312015,0.9649399873657613
KNSL,0.5681471253715782,0.9646241313960834
FOXF,0.566439909297052,0.9643082754264055
PCTY,0.5609486166007907,0.9639924194567278
LNTH,0.5596091205211728,0.9636765634870499
BOOM,0.5559539811014647,0.9633607075173721
IONS,0.5533041676260648,0.9630448515476943
CSPI,0.5450550648784214,0.9627289955780164
MSON,0.5444015444015444,0.9624131396083386
NTRA,0.5427789185489391,0.9620972836386608
FRO,0.5404958677685952,0.9617814276689829
CVNA,0.5380036630036631,0.9614655716993051
CWST,0.5368050117462804,0.9611497157296273
ADVM,0.5327586206896553,0.9608338597599495
CMG,0.5301990537487744,0.9605180037902716
NVCR,0.5271874999999999,0.9602021478205938
GKOS,0.5269337016574587,0.959886291850916
OMCL,0.5256653992395437,0.9595704358812381
ATRI,0.5245382711348057,0.9592545799115604
BIOL,0.52,0.9589387239418825
NXRT,0.518548365536285,0.9586228679722046
CLCT,0.5162878895083916,0.9583070120025269
HASI,0.5067899615748606,0.957991156032849
DCO,0.5047393364928909,0.9576753000631711
LUNA,0.5017064846416384,0.9573594440934934
MTBC,0.5000000000000002,0.9570435881238155
CECE,0.4983974358974357,0.9567277321541378
FATE,0.4979691307879772,0.9564118761844599
PDVW,0.49549549549549554,0.956096020214782
GTN,0.49306122448979584,0.9557801642451043
KIDS,0.4907749077490773,0.9554643082754264
MKC,0.48872787376756155,0.9551484523057486
AIRG,0.48464912280701755,0.9548325963360708
GLOB,0.48456140350877197,0.9545167403663929
ACAD,0.48377219840783847,0.9542008843967151
KEN,0.4825377293619484,0.9538850284270373
AEZS,0.4790697674418607,0.9535691724573594
CRMT,0.47601476014760147,0.9532533164876816
JKS,0.47532894736842124,0.9529374605180038
BBD,0.4742858168245765,0.952621604548326
CKPT,0.4648829431438126,0.9523057485786481
ZNGA,0.4642857142857144,0.9519898926089703
BSTC,0.4628861226371599,0.9516740366392925
ENSG,0.4623808394222424,0.9513581806696146
BHVN,0.45897375266020335,0.9510423246999369
CHD,0.45800235740275697,0.950726468730259
COLD,0.4579690779778911,0.9504106127605811
ETSY,0.4567274405723518,0.9500947567909034
CINF,0.45574513997206956,0.9497789008212255
ALOT,0.45524102689026313,0.9494630448515476
WELL,0.45462890714646353,0.9491471888818699
PG,0.45294413075820317,0.948831332912192
FICO,0.44964028776978426,0.9485154769425143
MTEM,0.4486692015209126,0.9481996209728364
AMT,0.4478094806873534,0.9478837650031585
PTGX,0.44550408719346035,0.9475679090334808
NOW,0.44371221611023337,0.9472520530638029
QTNA,0.4411042944785275,0.9469361970941251
BRFS,0.4405204460966543,0.9466203411244473
CDNS,0.43855743544078374,0.9463044851547694
HZNP,0.4381384790011349,0.9459886291850916
HSY,0.4357411222205474,0.9456727732154138
FEIM,0.4354811205846527,0.9453569172457359
ATEC,0.435374149659864,0.9450410612760581
AU,0.43411862493331843,0.9447252053063803
LXFR,0.43364461396817067,0.9444093493367025
ACIA,0.4281084266352386,0.9440934933670246
IAC,0.4258179362838377,0.9437776373973468
PUMP,0.4255185417976115,0.943461781427669
AZO,0.42439074130722965,0.9431459254579911
HEI,0.4240925396686732,0.9428300694883134
MSEX,0.42348754448398584,0.9425142135186355
APPF,0.4209267563527652,0.9421983575489576
AGYS,0.4193130265716136,0.9418825015792799
ATUS,0.4187134502923977,0.941566645609602
HELE,0.41833161688980436,0.9412507896399241
ABR,0.4145313220472959,0.9409349336702464
WP,0.413870246085011,0.9406190777005685
HCCI,0.411645569620253,0.9403032217308908
QTRX,0.40955414012738856,0.9399873657612129
LHCG,0.4084589321182379,0.939671509791535
GBR,0.4056952394754001,0.9393556538218573
CLPR,0.40567066521265005,0.9390397978521794
NXST,0.4045303814299215,0.9387239418825016
FLWS,0.4022900763358779,0.9384080859128238
MRTX,0.4021803766105052,0.9380922299431459
ABDC,0.4020767850971745,0.9377763739734681
AAON,0.4011906516697099,0.9374605180037903
NYT,0.40029127349451543,0.9371446620341124
KEYW,0.3992537313432838,0.9368288060644346
ACMR,0.39496459480723844,0.9365129500947568
PTNR,0.39420289855072443,0.936197094125079
AGX,0.39347936094845637,0.9358812381554011
BLFS,0.38959107806691473,0.9355653821857233
CHCT,0.3894055501822782,0.9352495262160455
CRVL,0.38854460093896703,0.9349336702463676
CZZ,0.38762626262626276,0.9346178142766899
LEE,0.3866666666666667,0.934301958307012
INOV,0.38634146341463427,0.9339861023373341
ARQL,0.38319672131147553,0.9336702463676564
PPC,0.38242513500245456,0.9333543903979785
EXAS,0.38206936249820145,0.9330385344283006
CMCT,0.38185798330825005,0.9327226784586229
MKTX,0.3812100112909296,0.932406822488945
AWI,0.38100640231861793,0.9320909665192673
NSC,0.38091250438963775,0.9317751105495894
CIEN,0.37648927720413017,0.9314592545799115
NRP,0.37609149836610056,0.9311433986102338
EXFO,0.375,0.9308275426405559
FTEK,0.3727272727272726,0.930511686670878
CRAY,0.37186897880539505,0.9301958307012003
MASI,0.37142291315971887,0.9298799747315224
DXR,0.37076923076923074,0.9295641187618446
AWK,0.37072019471913054,0.9292482627921668
NC,0.3690562014379748,0.9289324068224889
BLDP,0.368421052631579,0.9286165508528111
LLY,0.367873623211602,0.9283006948831333
ARGX,0.36479810996563566,0.9279848389134555
SBUX,0.36470772539217977,0.9276689829437776
DHT,0.3634601792106522,0.9273531269740998
FCAP,0.36190103929621253,0.927037271004422
HCP,0.3611770539424548,0.9267214150347441
AUG,0.36111111111111094,0.9264055590650663
EVRI,0.361006289308176,0.9260897030953885
OFG,0.36012949610040157,0.9257738471257106
LULU,0.35948477751756447,0.9254579911560329
IBN,0.35784611077411244,0.925142135186355
PRO,0.3572584997301671,0.9248262792166771
GLUU,0.35559006211180133,0.9245104232469994
EMCI,0.3539599474423454,0.9241945672773215
RDN,0.3538442343910597,0.9238787113076438
MPW,0.35343958963085087,0.9235628553379659
GBT,0.35280095351609053,0.923246999368288
ES,0.35139112541667195,0.9229311433986103
BRSS,0.35128775495477416,0.9226152874289324
ARWR,0.35092724679029974,0.9222994314592545
EPAM,0.3501743573108427,0.9219835754895768
HYGS,0.3500000000000001,0.9216677195198989
QCOM,0.3469484059472512,0.9213518635502211
OUT,0.346374662560359,0.9210360075805433
RADA,0.3460207612456747,0.9207201516108654
LII,0.34515647407814853,0.9204042956411876
O,0.34400982242260114,0.9200884396715098
PTSI,0.3425374910735539,0.919772583701832
MANH,0.34174074839776747,0.9194567277321541
LYV,0.34092844974446335,0.9191408717624763
AEP,0.3401962938775003,0.9188250157927985
MOH,0.3396654965930208,0.9185091598231206
DHX,0.3392857142857144,0.9181933038534428
ADSW,0.33833333333333315,0.917877447883765
ALLT,0.3376383763837638,0.9175615919140871
BRKR,0.3370685996016587,0.9172457359444094
DRI,0.33488133664076036,0.9169298799747315
MSB,0.33474986382400207,0.9166140240050537
CMCSA,0.3327933204561033,0.9162981680353759
MNRO,0.3327252229508142,0.915982312065698
CATM,0.3311948676824379,0.9156664560960203
OASM,0.3309271373787501,0.9153506001263424
BRG,0.3308906093020507,0.9150347441566645
MJCO,0.3299832495812396,0.9147188881869868
GLIBA,0.3295580723961802,0.9144030322173089
INT,0.3286287842847855,0.914087176247631
LPCN,0.3283582089552237,0.9137713202779533
HMSY,0.32763045337895647,0.9134554643082754
BOSC,0.32735426008968616,0.9131396083385976
NGL,0.3273342852780845,0.9128237523689198
S,0.3273056057866184,0.9125078963992419
FBP,0.32693437555879123,0.9121920404295641
PYPL,0.3269048745858969,0.9118761844598863
CASY,0.32663191485303744,0.9115603284902085
MDLZ,0.32658834154892946,0.9112444725205306
ELS,0.32534850646551483,0.9109286165508528
HF,0.325311342982161,0.910612760581175
HUBS,0.32383009359251247,0.9102969046114971
ALRM,0.3234709648929124,0.9099810486418193
ACST,0.32330827067669166,0.9096651926721415
GIL,0.32322740456883947,0.9093493367024637
FCPT,0.3231624267575892,0.9090334807327859
INSE,0.3223140495867769,0.908717624763108
APD,0.32215499485066923,0.9084017687934302
BKH,0.3220941165857669,0.9080859128237524
BX,0.3203755966237922,0.9077700568540745
MRK,0.3193128467419428,0.9074542008843968
PLXP,0.3176470588235294,0.9071383449147189
CSCO,0.315171552282824,0.906822488945041
AZUL,0.314794816414687,0.9065066329753633
NWE,0.3145863377574336,0.9061907770056854
PGR,0.3145634490921454,0.9058749210360075
