tick,return,percentile
ELTK,2.933823529411764,1.0
WKHS,1.607296137339056,0.999758162031439
AVDL,1.4918032786885247,0.9995163240628778
NOVN,1.1652173913043482,0.9992744860943168
NBY,1.0648398301813975,0.9990326481257558
CFMS,0.8647540983606556,0.9987908101571947
OESX,0.8571428571428572,0.9985489721886336
ASCMA,0.8484848484848484,0.9983071342200726
DGSE,0.8172727272727272,0.9980652962515115
NETS,0.8010471204188483,0.9978234582829504
IOVA,0.7899082568807341,0.9975816203143894
ATOM,0.7740740740740739,0.9973397823458283
GMO,0.7604878048780488,0.9970979443772672
OBLN,0.7342342342342343,0.9968561064087061
SSFN,0.7264573991031391,0.9966142684401451
ADVM,0.7094281298299847,0.9963724304715841
ATNX,0.7069486404833836,0.9961305925030229
EVFM,0.6481012658227847,0.9958887545344619
RAVE,0.6477987421383649,0.9956469165659009
BMA,0.6432386303707893,0.9954050785973397
HSGX,0.6318651441000542,0.9951632406287787
ROKU,0.6285137443702438,0.9949214026602177
CDLX,0.5854430379746836,0.9946795646916566
WPRT,0.5680473372781065,0.9944377267230955
XON,0.54739336492891,0.9941958887545345
VUZI,0.5458333333333334,0.9939540507859734
PAM,0.5454545454545452,0.9937122128174123
MRTX,0.5398143624816807,0.9934703748488513
HZN,0.5169811320754716,0.9932285368802902
AKRX,0.5092250922509225,0.9929866989117292
QTRX,0.5013477088948788,0.992744860943168
SUPV,0.4995349543496006,0.992503022974607
ASFI,0.48537962059160544,0.992261185006046
ARWR,0.4806288601909041,0.9920193470374848
MSON,0.4774774774774777,0.9917775090689238
HYGS,0.4526445264452643,0.9915356711003628
CTHR,0.4513274336283186,0.9912938331318016
BKS,0.4465408805031448,0.9910519951632406
SLNO,0.43500000000000005,0.9908101571946796
VERU,0.42253521126760574,0.9905683192261185
TGS,0.41509433962264164,0.9903264812575574
QIWI,0.4106102422569762,0.9900846432889964
MDCA,0.40975609756097575,0.9898428053204353
GOL,0.40588760035682414,0.9896009673518742
GFI,0.40379403794037927,0.9893591293833132
BYSI,0.40284827586206906,0.9891172914147521
PAGS,0.4010054137664345,0.9888754534461911
VTGN,0.39885734690233865,0.98863361547763
RWLK,0.39622641509433953,0.9883917775090689
XOMA,0.3958165728077234,0.9881499395405079
AMBR,0.3914438502673796,0.9879081015719468
OZM,0.3871265043343528,0.9876662636033857
Z,0.38694710794927323,0.9874244256348247
PIRS,0.382059800664452,0.9871825876662637
CMRX,0.38076923076923075,0.9869407496977025
USAT,0.37985865724381607,0.9866989117291415
DATA,0.3771827706635622,0.9864570737605804
AQ,0.3725078698845752,0.9862152357920193
VERI,0.36515912897822456,0.9859733978234583
PRTS,0.360544217687075,0.9857315598548972
ODT,0.36037527593818974,0.9854897218863361
AVP,0.35815602836879434,0.9852478839177751
KTOS,0.35759096612296126,0.985006045949214
PODD,0.34584107806691455,0.984764207980653
CTRL,0.34389140271493224,0.9845223700120919
CDNA,0.343199436222692,0.9842805320435308
STAR,0.33906277219673653,0.9840386940749698
IDN,0.336231884057971,0.9837968561064087
FSI,0.33333333333333326,0.9835550181378476
CHMA,0.33220910623946054,0.9833131801692866
PVG,0.3300423131170662,0.9830713422007256
SID,0.32974704584605163,0.9828295042321644
AU,0.32687224669603543,0.9825876662636034
ERIE,0.3237547892720307,0.9823458282950424
CIR,0.32110091743119273,0.9821039903264812
CVRS,0.3211009174311925,0.9818621523579202
ENPH,0.3209590100541375,0.9816203143893591
CRAY,0.31811263318112637,0.9813784764207981
ATRO,0.31802979629066597,0.981136638452237
HIIQ,0.3163265306122449,0.9808948004836759
ATXI,0.3157894736842106,0.9806529625151149
TRMD,0.3157894736842104,0.9804111245465538
ECPG,0.3099671412924425,0.9801692865779927
IOTS,0.30694668820678506,0.9799274486094317
SNCR,0.3062381852551985,0.9796856106408706
OHRP,0.3038461538461539,0.9794437726723095
AZUL,0.2986615678776292,0.9792019347037485
AP,0.2958199356913185,0.9789600967351875
PYDS,0.29554655870445345,0.9787182587666263
CY,0.29398012857977807,0.9784764207980653
MELI,0.2924432466051621,0.9782345828295043
ARRY,0.28786536758193093,0.9779927448609431
ATEC,0.28190743338008417,0.9777509068923821
VRAY,0.27621861152141824,0.9775090689238211
KOOL,0.2680334092634775,0.97726723095526
GSL,0.26727272727272733,0.9770253929866989
YPF,0.26431718061674014,0.9767835550181379
AXSM,0.264,0.9765417170495768
SE,0.2639676113360323,0.9762998790810157
ATAI,0.2603550295857988,0.9760580411124546
CVU,0.2591311216429699,0.9758162031438936
KL,0.2582417582417582,0.9755743651753326
ARNA,0.25728577642453243,0.9753325272067714
NTRA,0.25715746421267904,0.9750906892382104
MDB,0.2565729827742518,0.9748488512696494
BTN,0.2552301255230125,0.9746070133010882
WAIR,0.2541766109785202,0.9743651753325272
TSS,0.25275590551181115,0.9741233373639662
SEDG,0.2527422303473492,0.973881499395405
CLMT,0.25074626865671656,0.973639661426844
NVCR,0.2506726457399102,0.973397823458283
OKTA,0.25057892705519125,0.9731559854897219
CYRX,0.2494773519163762,0.9729141475211608
NSSC,0.24927894519983518,0.9726723095525998
BPL,0.24818381897656283,0.9724304715840387
STRM,0.24778761061946897,0.9721886336154776
POWL,0.24698590061637016,0.9719467956469166
PFNX,0.246800731261426,0.9717049576783555
RVLT,0.24565324140419076,0.9714631197097945
DHX,0.2435897435897436,0.9712212817412333
