tick,year,month,market_cap,percentile
AAPL,2018,09,1097650000000.0,1.0
MSFT,2018,06,768397000000.0,0.9997733967822343
AMZN,2018,12,734416000000.0,0.9995467935644686
GOOGL,2018,12,726734000000.0,0.9993201903467029
FB,2018,12,376725000000.0,0.9990935871289373
JNJ,2018,12,346109000000.0,0.9988669839111716
JPM,2018,12,324627000000.0,0.9986403806934059
WMT,2018,01,315790000000.0,0.9984137774756402
V,2018,09,306745000000.0,0.9981871742578745
XOM,2018,12,288703000000.0,0.9979605710401088
WMT,2019,01,278411000000.0,0.997733967822343
PFE,2018,12,252318000000.0,0.9975073646045773
BAC,2018,12,241822000000.0,0.9972807613868117
UNH,2018,12,239662000000.0,0.997054158169046
HD,2018,01,239295000000.0,0.9968275549512803
VZ,2018,12,232302000000.0,0.9966009517335146
WFC,2018,12,216910000000.0,0.9963743485157489
INTC,2018,12,214189000000.0,0.9961477452979832
HD,2019,02,210578000000.0,0.9959211420802175
CVX,2018,12,207873000000.0,0.9956945388624519
T,2018,12,207714000000.0,0.9954679356446862
KO,2018,12,201546000000.0,0.9952413324269205
MRK,2018,12,198695000000.0,0.9950147292091548
CSCO,2018,07,198321000000.0,0.9947881259913891
PG,2018,06,196466000000.0,0.9945615227736234
MA,2018,12,194837000000.0,0.9943349195558577
ORCL,2018,05,190726000000.0,0.994108316338092
BA,2018,12,183143000000.0,0.9938817131203264
DIS,2018,09,172877000000.0,0.9936551099025606
PEP,2018,12,155950000000.0,0.9934285066847949
CMCSA,2018,12,154911000000.0,0.9932019034670292
NVDA,2018,01,149591000000.0,0.9929753002492635
ABBV,2018,12,138674000000.0,0.9927486970314978
C,2018,12,127138000000.0,0.9925220938137321
ABT,2018,12,127036000000.0,0.9922954905959664
AMGN,2018,12,124047000000.0,0.9920688873782008
LLY,2018,12,122585000000.0,0.9918422841604351
ADBE,2018,11,122468000000.0,0.9916156809426694
NFLX,2018,12,116723000000.0,0.9913890777249037
CRM,2019,01,116257000000.0,0.991162474507138
NKE,2018,05,115724000000.0,0.9909358712893723
ACN,2018,08,114069000000.0,0.9907092680716066
MMM,2018,12,110949000000.0,0.990482664853841
MDT,2018,04,110178000000.0,0.9902560616360753
QCOM,2018,09,106657000000.0,0.9900294584183096
PM,2018,12,103780000000.0,0.9898028552005439
IBM,2018,12,103303000000.0,0.9895762519827782
COST,2018,09,102917000000.0,0.9893496487650124
UNP,2018,12,101846000000.0,0.9891230455472467
PYPL,2018,12,99088200000.0,0.988896442329481
HON,2018,12,97806900000.0,0.9886698391117154
MO,2018,12,92806100000.0,0.9884432358939497
AVGO,2018,11,90995500000.0,0.988216632676184
TXN,2018,12,90771300000.0,0.9879900294584183
FOX,2018,06,90163800000.0,0.9877634262406526
TMO,2018,12,90092600000.0,0.9875368230228869
UTX,2018,12,85288800000.0,0.9873102198051212
BMY,2018,12,84841700000.0,0.9870836165873556
LOW,2018,02,84220700000.0,0.9868570133695899
NVDA,2019,01,84186100000.0,0.9866304101518242
UPS,2018,12,83800300000.0,0.9864038069340585
NEE,2018,12,83076400000.0,0.9861772037162928
DWDP,2018,12,82512500000.0,0.9859506004985271
CRM,2018,01,82277200000.0,0.9857239972807614
AXP,2018,12,81428200000.0,0.9854973940629957
GILD,2018,12,80915900000.0,0.98527079084523
BKNG,2018,12,79799000000.0,0.9850441876274643
LOW,2019,02,77975200000.0,0.9848175844096986
CAT,2018,12,74984900000.0,0.9845909811919329
SBUX,2018,09,74983000000.0,0.9843643779741672
LMT,2018,12,74474000000.0,0.9841377747564015
USB,2018,12,73855400000.0,0.9839111715386358
DHR,2018,12,72277100000.0,0.9836845683208701
COP,2018,12,71779900000.0,0.9834579651031045
AMT,2018,12,69680800000.0,0.9832313618853388
MS,2018,12,68204100000.0,0.9830047586675731
WBA,2018,08,68039800000.0,0.9827781554498074
ANTM,2018,12,67927200000.0,0.9825515522320417
CVS,2018,12,66751700000.0,0.982324949014276
FDX,2018,05,66568700000.0,0.9820983457965103
CHTR,2018,12,65234700000.0,0.9818717425787447
CME,2018,12,64116800000.0,0.981645139360979
